"Sku,","Product, ","Brand,","Style,","Qty on hand,","Qty on shelf,","Qty Ordered on shelf,","Qty in carts,","Qty Sold,","Total Waitlist,","Total Waitlist Authorized,","Price,","Cost,","Size,","Color,","Location,","Shipping,",Weight,
1030,101 Spots,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,17.25,XL,,,,16,i-1
1030,101 Spots,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,17.25,1XL,,,,16,i-2
1030,101 Spots,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,17.25,2XL,,,,16,i-3
1013,Animal Party,TheMadHatterStoreTN,,0,0,0,0,0,1,0,19.99,14.75,1XL,,,,16,i-4
1013,Animal Party,TheMadHatterStoreTN,,0,0,0,0,0,0,0,19.99,14.75,2XL,,,,16,i-5
1013,Animal Party,TheMadHatterStoreTN,,0,0,0,0,0,1,0,19.99,14.75,3XL,,,,16,i-6
1004,Apricot Adorable *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,43.99,17.5,1XL,,,,16,i-7
1004,Apricot Adorable *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,43.99,17.5,2XL,,,,16,i-8
1004,Apricot Adorable *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,43.99,17.5,3XL,,,,16,i-9
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,2,0,0,0,0,0,0,17.99,6.95,1X,ORCHID,,,16,i-10
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,0,0,0,0,0,0,0,17.99,6.95,1X,LOVE PINK,,,16,i-11
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,0,0,0,0,0,0,0,17.99,6.95,1X,LIGHT DENIM,,,16,i-12
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,1,0,0,0,0,0,0,17.99,6.95,2X,ORCHID,,,16,i-13
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,1,0,0,0,0,0,0,17.99,6.95,2X,LOVE PINK,,,16,i-14
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,1,0,0,0,0,0,0,17.99,6.95,2X,LIGHT DENIM,,,16,i-15
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,1,0,0,0,0,0,0,17.99,6.95,3X,ORCHID,,,16,i-16
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,1,0,0,0,1,0,0,17.99,6.95,3X,LOVE PINK,,,16,i-17
1046,"Baby Doll Tank, Orchid, Light Denim, Pink",TheMadHatterStoreTN,,0,0,0,0,0,1,0,17.99,6.95,3X,LIGHT DENIM,,,16,i-18
1008,Beach Party *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.75,XL,,,,16,i-19
1008,Beach Party *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.75,1XL,,,,16,i-20
1008,Beach Party *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,15.75,2XL,,,,16,i-21
1015,Blue Jean Baby *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,34.99,18.25,XL,,,,16,i-22
1015,Blue Jean Baby *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,34.99,18.25,1XL,,,,16,i-23
